지점번호,경도(degree),위도(degree),노장해발고도(m),지점명(한글),예보구역코드,법정동코드
90,128.56472,38.25085,18.1,속초,11D20401,4282033035
95,127.3042,38.14788,154.81,철원,11D10101,4278025624
98,127.06069,37.90186,112.5,동두천,11B20401,4125010300
99,126.76649,37.88588,29.4,파주,11B20305,4148025025
100,128.71833,37.67713,772.6,대관령,11D20201,4276037025
101,127.7357,37.90256,75.64,춘천,11D10301,4211011800
102,124.63046,37.96611,145.5,백령도,11A00101,2872033024
104,128.85535,37.80456,78.9,북강릉,11D20501,4215036027
105,128.89098,37.75147,26,강릉,11D20501,4215010700
106,129.12433,37.50708,39.9,동해,11D20601,4217010400
108,126.96579,37.57141,85.8,서울,11B10101,1111017800
112,126.624,37.4777,68.2,인천,11B20201,2811013700
114,127.9466,37.33756,148.6,원주,11D10401,4213010600
115,130.89864,37.48129,222.4,울릉도,11E00101,4794025024
119,126.9853,37.2723,34.1,수원,11B20601,4111310800
121,128.45743,37.18126,240.6,영월,11D10501,4275025022
127,127.95266,36.97038,116.3,충주,11C10101,4313012200
129,126.49391,36.77661,28.9,서산,11C20101,4421010600
130,129.41278,36.99176,50,울진,11H10101,4793025023
131,127.44066,36.63924,57.16,청주,11C10301,4311311400
133,127.37212,36.372,68.9,대전,11C20401,3020012400
135,127.99457,36.22023,243.7,추풍령,11C10401,4374033521
136,128.70732,36.57293,140.1,안동,11H10501,4717012900
137,128.15743,36.40838,96.1,상주,11H10302,4725011000
138,129.37963,36.03259,2.3,포항,11H10201,4711110400
140,126.76135,36.0053,23.2,군산,21F10501,4513010300
143,128.6522,35.828,53.4,대구,11H10701,2714010300
146,127.119,35.8408,61.4,전주,11F10201,4511310600
152,129.3344,35.5826,83.2,울산,11H20101,3111011400
155,128.57285,35.1702,37.6,창원,11H20301,4812552000
156,126.89158,35.17294,72.4,광주,11F20501,2917010900
159,129.03203,35.10468,69.6,부산,11H20201,2611011600
162,128.4356,34.84546,32.3,통영,11H20401,4822010900
165,126.38121,34.81689,38,목포,21F20801,4611010300
168,127.74064,34.73929,64.6,여수,11F20401,4613010700
169,125.45103,34.68719,76.5,흑산도,11F20701,4691036022
170,126.70184,34.39587,35.2,완도,11F20301,4689031022
172,126.599,35.3489,52,고창,21F10601,4579038025
174,127.3694,35.0204,165,순천,11F20600,4615025025
175,126.32379,34.47212,476.5,진도(첨찰산),21F20201,4690033021
177,126.68766,36.65745,20,홍성(예),11C20104,4480031025
184,126.52968,33.51411,20.45,제주,11G00201,4911010700
185,126.16283,33.29382,71.47,고산,11G00501,4971031023
188,126.88021,33.38678,17.8,성산,11G00101,4972025927
189,126.56534,33.24613,49.03,서귀포,11G00401,4913010100
192,128.04002,35.16379,30.2,진주,11H20701,4817012600
201,126.44634,37.70739,47,강화,11B20101,2871032027
202,127.49447,37.48857,47.9,양평,11B20503,4183025021
203,127.4842,37.26398,78,이천,11B20701,4150025328
211,128.16713,38.05987,200.2,인제,11D10201,4281025022
212,127.88042,37.6836,140.91,홍천,11D10302,4272025029
216,128.98928,37.17031,712.8,태백,11D20301,4219010100
217,128.6461,37.3813,307,정선군,11D10502,4277025022
221,128.19431,37.15927,259.8,제천,11C10201,4315011200
226,127.73412,36.48759,175,보은,11C10302,4372025030
232,127.292,36.762,81.5,천안,11C20301,4413037022
235,126.55741,36.32721,15.5,보령,11C20201,4418010900
236,126.92081,36.27236,11.3,부여,11C20501,4476025033
238,127.48175,36.10562,170.4,금산,11C20601,4471025025
243,126.71655,35.72954,12,부안,21F10602,4580033021
244,127.28556,35.61227,247.9,임실,11F10402,4575025022
245,126.86611,35.56317,44.6,정읍,11F10203,4518010300
247,127.3967,35.4023,90.3,남원,11F10401,4519011600
248,127.52029,35.65695,406.5,장수,11F10301,4574025023
251,126.697,35.4266,54,고창군,21F10601,4579025030
252,126.47779,35.283671,37.2,영광군,21F20102,4687034030
253,128.891,35.23,53.3,김해시,11H20304,4825010300
254,127.1286,35.3714,127,순창군,11F10403,4577025026
255,128.672,35.226,48.8,북창원,11H20301,4811012100
257,129.02,35.3072,14.9,양산시,11H20102,4833031027
258,127.2123,34.7633,2.8,보성군,11F20404,4678038023
259,126.7689,34.6261,12.5,강진군,11F20303,4681025027
260,126.91949,34.68875,45,장흥,11F20304,4680025043
261,126.56897,34.55359,13,해남,11F20302,4682025034
262,127.27571,34.61824,53.1,고흥,11F20403,4677025029
263,128.2881,35.3226,14.2,의령군,11H20302,4872025024
264,127.7454,35.5114,151.2,함양군,11H20502,4887025022
266,127.691,34.943,80.9,광양시,11F20402,4623010600
268,126.2585,34.4731,5.4,진도군,21F20201,4690025025
271,128.914,36.944,324.3,봉화,11H10402,4792034021
272,128.51696,36.87188,210.8,영주,11H10401,4721025021
273,128.148,36.62727,170.6,문경,11H10301,4728010800
276,129.0423,36.4321,206.2,청송군,11H10503,4775025000
277,129.40936,36.53331,42.1,영덕,11H10102,4777036030
278,128.688,36.35611,81.8,의성,11H10502,4773025031
279,128.32,36.13,48.8,구미,11H10602,4719010800
281,128.95141,35.97743,93.8,영천,11H10702,4723010200
283,129.2009092,35.81746056,37.6,경주시,11H10202,4713011300
284,127.909,35.6674,226,거창,11H20502,4888025028
285,128.16986,35.56503,32,합천,11H20503,4889025021
288,128.7441,35.49148,11.2,밀양,11H20601,4827010200
289,127.8791,35.41299,138.1,산청,11H20703,4886025023
294,128.60453,34.88818,45.4,거제,11H20403,4831025021
295,127.92641,34.81663,43.7,남해,11H20405,4884031021
