지점번호,종료시각,시작시각,지점명(한글),위도(degree),경도(degree)
21229,2100123100,2011122810,울릉도,37.4554,131.1144
22101,2100123100,1996070100,덕적도,37.2361,126.0188
22102,2100123100,1996070100,칠발도,34.7933,125.7769
22103,2100123100,1997050100,거문도,34.0014,127.5014
22104,2100040400,1998050100,거제도,34.7667,128.9
22105,2100123100,2001040100,동해,37.5442,130
22106,2100123100,2008111500,포항,36.35,129.7833
22107,2100123100,2008111500,마라도,33.0833,126.0333
22108,2100123100,2009102100,외연도 ,36.25,125.75
22183,2100123100,2013062116,신안,34.7333,126.2417
22184,2100123100,2014011412,추자도,33.79361,126.1411
