지점번호,종료시각,시작시각,지점명(한글),위도(degree),경도(degree),노장 해발고도(m)
90,2100123100,2006120812,속초,38.25085,128.56472,18.06
94,2100123100,2004051812,광덕산,38.11722222,127.4333333,1066
100,2100123100,2005042812,대관령,37.67713,128.71833,772.57
101,2100123100,2006120812,춘천,37.90256,127.7357,77.71
102,2100123100,2003032210,백령도,37.96611,124.63046,144.86
108,2010081523,2008042500,서울,37.57141111,126.9657917,85.5
108,2100123100,2010081600,서울,37.57141,126.96579,85.8
115,2100123100,2004051912,울릉도,37.48129,130.89864,222.8
116,2010080523,2003032120,관악산,37.444233,126.963921,626.76
116,2100123100,2010080600,관악산,37.44525,126.96401,622.38
119,2100123100,2008042500,수원,37.2723,126.9853,34.06
121,2100123100,2007013101,영월,37.18126,128.45743,240.6
130,2100123100,2010102800,울진,36.99176,129.41278,50
132,2100123100,2003032120,안면센터,36.53833333,126.33,45.7
135,2100123100,2004051912,추풍령,36.22023,127.99457,244.73
136,2100123100,2007013101,안동,36.57293,128.70732,140.1
140,2100123123,2007010100,군산,36.0053,126.76135,23.2
143,2100123100,2007013101,대구,35.88515,128.61903,64.08
144,2006122709,2003032120,오성산,36.012714,126.783913,227.41
146,2100123100,2008042800,전주,35.8215,127.15496,53.4
152,2100123100,2008043012,울산,35.56014,129.32026,34.57
156,2100123100,2004012718,광주,35.17294,126.89158,72.38
160,2100123100,2005051212,구덕산,35.11881,128.99996,518.46
169,2100123100,2003032120,흑산도,34.68719,125.45103,76.49
175,2100123100,2008043012,진도(첨찰산),34.47212,126.32379,476.47
185,2100123100,2003032120,고산,33.29382,126.16283,74.29
192,2100123100,2007013101,진주,35.16379,128.04002,30.21
201,2100123100,2004020718,강화,37.70739,126.44634,47.01
229,2100123100,2005022518,격렬비도,36.62542,125.55951,103.56
232,2100123100,2004051812,천안,36.779617,127.119148,21.3
277,2010102723,2005050712,영덕,36.530391,129.41171,41.2
399,2100123100,2006010100,청원,36.56666667,127.3666667,93
501,2100123100,2015011500,연평도,37.666,125.702,20
